Retention,FirstJob,Age,IndustryExperience,FlexibleWork,ExtrinsicReward,EducationLevel,PreConception,Internship,AdvancementOpportunities,JobSatisfaction
3.64,0,29,0,47.57,57940.26,1,1,1,1,3
3.64,0,56,0,26.84,63127.68,2,0,0,2,5
0.92,1,23,0,52.0,50232.0,3,0,0,3,2
0.92,1,22,0,55.0,50820.0,2,0,0,2,2
4.55,0,43,0,41.04,74118.24,3,0,0,3,6
4.55,0,24,0,67.64,68181.12,3,1,1,3,4
4.55,0,45,0,33.55,63409.5,3,1,0,3,4
5.46,0,36,0,47.36,71608.32,3,1,1,3,5
4.55,0,44,0,45.92,84860.16,1,0,0,1,6
3.64,1,32,0,57.0,76608.0,2,0,0,2,5
2.73,0,25,0,63.75,66937.5,3,0,0,3,4
7.28,0,58,1,27.72,74278.51,4,1,0,9,7
5.46,0,51,0,31.36,67173.12,3,1,0,3,5
7.28,0,49,1,36.21,81972.2,2,1,0,7,7
2.73,0,27,0,58.4,66225.6,4,0,0,4,4
8.18,0,46,1,42.66,90661.03,3,1,0,8,8
1.83,1,22,0,69.0,63756.0,1,0,0,1,3
7.28,0,32,1,61.2,90478.08,3,1,0,8,7
3.64,0,33,0,42.88,59431.68,2,1,1,2,3
6.37,0,55,0,33.75,77962.5,3,1,0,3,6
3.64,0,41,0,39.53,68070.66,1,0,0,1,5
3.64,0,53,0,30.08,66958.08,2,0,0,2,5
5.46,0,49,0,41.82,86065.56,3,0,0,3,7
6.37,0,55,1,28.35,72037.35,1,1,0,6,6
2.73,0,57,0,25.8,61765.2,1,0,0,1,4
3.64,0,24,0,57.76,58222.08,4,1,1,4,3
7.28,0,30,1,59.5,82467.0,4,1,0,9,7
5.46,0,28,1,52.56,67991.62,1,1,1,6,5
5.46,1,28,0,70.0,82320.0,2,1,1,2,5
6.37,0,56,1,28.16,72855.55,3,1,0,8,6
3.64,0,26,1,45.14,54222.17,1,1,0,6,3
5.46,0,37,0,47.25,73426.5,4,1,1,4,5
6.37,0,32,1,48.96,72382.46,4,1,0,9,6
6.37,0,57,1,27.52,72471.17,2,1,0,7,6
3.64,0,56,0,26.84,63127.68,4,0,0,4,5
6.37,0,55,0,40.5,93555.0,2,0,0,2,8
4.55,0,26,0,66.6,72727.2,2,1,1,2,4
2.73,1,24,0,66.0,66528.0,3,0,0,3,4
6.37,0,35,1,44.2,71471.4,3,1,0,8,6
2.73,0,26,0,45.88,50100.96,3,1,1,3,2
6.37,0,44,0,39.76,73476.48,4,1,0,4,6
5.46,0,41,0,52.51,90422.22,2,0,0,2,7
5.46,1,28,0,64.0,75264.0,3,1,1,3,5
8.18,0,38,1,54.56,95785.54,1,1,1,6,8
6.37,0,49,1,31.11,70426.82,2,1,0,7,6
5.46,0,38,0,47.74,76193.04,1,1,1,1,5
4.55,0,31,0,50.37,65581.74,3,1,1,3,4
3.64,0,24,0,61.56,62052.48,1,1,1,1,3
8.18,0,57,1,33.97,89456.6,2,1,0,7,8
5.46,0,33,1,43.55,66396.33,3,1,0,8,5
3.64,0,48,0,33.8,68140.8,1,0,0,1,5
2.73,0,24,0,50.16,50561.28,4,1,1,4,2
4.55,0,36,0,46.08,69672.96,1,1,0,1,4
8.18,0,39,1,49.41,89026.94,3,1,1,8,8
6.37,0,29,1,55.38,74198.12,3,1,0,8,6
9.09,0,49,1,42.33,95826.65,4,1,0,9,9
6.37,0,54,0,40.48,91808.64,3,0,0,3,8
6.37,0,49,0,36.21,74520.18,3,1,0,3,6
6.37,0,29,1,57.51,77051.9,4,1,1,9,6
6.37,0,57,0,31.39,75147.66,4,1,0,4,6
6.37,0,33,1,51.59,78654.11,3,1,1,8,6
8.18,0,49,1,37.74,85435.81,2,1,0,7,8
4.55,1,32,0,47.0,63168.0,2,1,1,2,4
2.73,0,36,0,39.04,59028.48,4,0,0,4,4
6.37,0,26,1,65.12,78222.14,2,1,1,7,6
7.28,0,46,1,38.88,82627.78,1,1,0,6,7
4.55,0,28,1,46.8,60540.48,4,1,0,9,4
6.37,0,37,0,53.55,83216.7,3,1,1,3,6
9.09,0,50,1,43.0,99330.0,4,1,0,9,9
7.28,0,52,1,32.64,78414.34,3,1,0,8,7
9.09,0,55,1,36.0,91476.0,4,1,0,9,9
5.46,0,40,0,42.0,70560.0,1,1,1,1,5
8.18,0,36,1,52.48,87284.74,4,1,0,9,8
8.18,0,56,1,32.12,83100.86,4,1,0,9,8
1.83,1,23,0,45.0,43470.0,3,1,1,3,1
3.64,0,48,0,34.84,70237.44,4,0,0,4,5
9.09,0,43,1,47.31,93986.05,4,1,0,9,9
4.55,0,56,0,34.32,80720.64,1,0,0,1,6
3.64,0,49,0,33.15,68222.7,4,0,0,4,5
7.28,0,51,1,34.3,80817.66,4,1,0,9,7
9.09,0,48,1,44.72,99171.07,1,1,0,6,9
3.64,0,25,0,60.0,63000.0,1,1,1,1,3
2.73,0,37,0,42.21,65594.34,1,0,0,1,4
7.28,0,35,1,54.6,88288.2,1,1,1,6,7
6.37,0,32,1,53.04,78414.34,3,1,0,8,6
9.09,0,46,1,48.6,103284.72,1,1,0,6,9
6.37,0,37,0,53.55,83216.7,1,1,1,1,6
6.37,0,49,1,31.62,71581.36,3,1,0,8,6
6.37,0,48,1,32.76,72648.58,3,1,0,8,6
5.46,0,51,0,31.85,68222.7,3,1,0,3,5
8.18,0,56,1,32.56,84239.23,3,1,0,8,8
4.55,0,37,0,42.21,65594.34,4,1,1,4,4
7.28,0,53,1,30.55,74804.73,3,1,0,8,7
9.09,0,43,1,50.16,99647.86,3,1,0,8,9
5.46,0,55,0,30.15,69646.5,4,1,0,4,5
6.37,0,37,1,46.62,79692.23,1,1,1,6,6
5.46,0,47,0,42.93,84743.82,4,0,0,4,7
9.09,0,44,1,46.48,94484.54,3,1,0,8,9
6.37,0,39,1,40.87,73639.57,2,1,1,7,6
5.46,0,56,0,29.04,68302.08,3,1,0,3,5
6.37,0,55,1,28.35,72037.35,3,1,0,8,6
7.28,0,33,1,54.94,83761.52,3,1,0,8,7
3.64,0,25,0,60.0,63000.0,4,1,1,4,3
2.73,1,22,0,60.0,55440.0,2,1,1,2,2
8.18,0,38,1,53.32,93608.59,4,1,0,9,8
2.73,0,25,0,63.75,66937.5,3,0,0,3,4
6.37,0,37,0,52.92,82237.68,4,1,1,4,6
6.37,0,41,1,40.71,77112.88,1,1,0,6,6
3.64,1,28,0,66.0,77616.0,2,0,0,2,5
2.73,1,26,0,59.0,64428.0,4,0,0,4,4
