"HomeOff","Age","NoKids","Introv","Satisf","Prod"
0,38,1,0.392,5,32.75
1,50,0,0.386,8,39.437
0,26,0,0.727,3,17.685
0,38,5,0.18,4,68.995
0,34,3,0.209,4,54.121
0,36,4,0.377,3,48.694
0,51,2,0.263,6,44.672
0,42,1,0.597,4,30.958
1,25,0,0.234,4,23.598
1,42,0,0.421,4,16.116
0,56,1,0.542,7,31.218
0,46,2,0.494,5,40.084
1,40,1,0.518,7,45.449
1,49,1,0.278,8,53.463
0,64,1,0.255,7,46.701
0,44,2,0.648,5,44.447
0,53,1,0.121,4,24.376
1,43,0,0.389,6,13.639
0,53,4,0.212,6,64.207
0,27,0,0.146,5,23.386
0,57,1,0.552,7,43.872
1,26,0,0.628,5,30.842
0,63,0,0.433,5,13.548
0,37,1,0.529,5,34.829
0,41,3,0.314,5,56.118
0,59,1,0.553,5,31.147
1,47,0,0.907,6,38.175
0,58,2,0.384,5,35.362
0,33,2,0.259,4,41.742
1,47,0,0.642,6,25.867
1,30,0,0.171,5,23.497
0,64,3,0.139,6,52.839
1,43,0,0.542,8,46.484
0,30,0,0.508,3,20.986
0,25,0,0.575,4,16.688
1,29,0,0.3,5,25.634
0,47,3,0.473,4,54.924
1,63,0,0.37,9,40.278
0,40,1,0.637,5,44.543
1,35,0,0.32,6,33.457
1,26,0,0.545,5,34.068
0,37,2,0.209,3,30.498
0,40,1,0.178,4,28.187
0,46,3,0.18,4,43.024
0,50,2,0.39,5,39.436
0,61,3,0.169,6,51.389
0,62,5,0.388,6,72.264
1,41,0,0.319,6,23.807
0,62,3,0.303,6,60.193
0,31,0,0.289,5,28.738
0,55,1,0.342,5,28.559
1,58,0,0.292,7,24.77
0,31,4,0.16,4,56.833
1,59,1,0.471,8,52.425
1,60,0,0.529,7,33.942
0,31,1,0.279,3,26.825
0,55,0,0.281,4,20.584
1,56,0,0.671,7,28.117
1,50,1,0.348,6,31.643
1,56,1,0.508,6,40.976
0,48,2,0.349,6,31.589
0,60,1,0.442,6,33.388
1,46,1,0.273,4,31.828
0,48,3,0.121,5,44.386
0,43,0,0.526,4,24.314
0,39,2,0.514,6,48.163
0,33,0,0.122,6,32.169
0,50,2,0.268,5,45.271
1,34,0,0.388,5,29.884
0,64,1,0.215,7,35.668
0,32,0,0.648,5,23.978
0,43,1,0.282,5,44.386
0,58,1,0.239,5,36.734
0,54,2,0.477,6,46.186
0,34,2,0.231,3,34.017
1,53,1,0.38,5,28.986
0,46,1,0.19,5,49.385
0,64,3,0.4,7,55.652
0,61,2,0.536,7,39.54
0,32,0,0.141,1,11.761
0,32,2,0.513,3,36.674
0,46,1,0.214,5,39.493
0,48,1,0.287,5,26.329
0,36,1,0.324,3,14.511
0,54,1,0.181,6,40.953
0,37,2,0.2,4,45.997
0,30,0,0.137,3,26.901
1,41,0,0.234,6,37.379
0,27,0,0.164,3,24.134
0,60,0,0.621,7,40.767
1,51,1,0.338,6,38.301
0,61,0,0.52,7,31.384
1,64,0,0.566,8,34.602
1,28,0,0.289,4,18.143
0,33,1,0.545,3,33.7
1,52,1,0.31,6,47.783
0,64,2,0.268,6,42.008
0,37,1,0.357,3,25.354
0,42,1,0.543,4,38.218
1,26,0,0.583,3,16.322
1,57,1,0.107,7,41.443
0,26,0,0.326,4,33.892
1,34,0,0.7,7,36.806
0,29,0,0.305,4,32.697
1,61,1,0.418,7,34.563
0,45,1,0.33,4,19.109
